model,source_language,target_language,layer,is_self_transfer,accuracy,accuracy_pct,macro_f1,macro_f1_pct,num_tokens,train_split,eval_split,input_file
afriberta_large,hau,hau,0,True,0.837867599429978,83.7867599429978,0.6974259912523548,69.74259912523549,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,hau,1,True,0.8593082005441119,85.9308200544112,0.7257819892798053,72.57819892798054,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,hau,2,True,0.8793885218292525,87.93885218292526,0.754337182273426,75.43371822734261,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,hau,3,True,0.9113227101956212,91.13227101956211,0.8018033811039227,80.18033811039227,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,hau,4,True,0.9122295634149501,91.222956341495,0.8002154481320508,80.02154481320508,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,hau,5,True,0.9138489441637517,91.38489441637518,0.8037323066490891,80.37323066490892,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,hau,6,True,0.9098976551366758,90.98976551366758,0.7985059019816433,79.85059019816433,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,hau,7,True,0.9022541780023319,90.22541780023319,0.7868897323673432,78.68897323673431,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,hau,8,True,0.8995983935742972,89.95983935742971,0.7807375623641621,78.07375623641622,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,hau,9,True,0.8933799714988988,89.33799714988989,0.7715675656463616,77.15675656463617,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,hau,10,True,0.8915014898302889,89.15014898302888,0.7744783053232845,77.44783053232845,15438,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,0,False,0.314143988349868,31.4143988349868,0.20224007177827033,20.224007177827033,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,1,False,0.41517247656321105,41.5172476563211,0.23788049831200667,23.788049831200667,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,2,False,0.5049148994265951,50.491489942659506,0.28375998168164906,28.375998168164905,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,3,False,0.578501865841449,57.8501865841449,0.35093545035542045,35.09354503554204,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,4,False,0.593019022481114,59.3019022481114,0.36745434083678385,36.74543408367838,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,5,False,0.5967962137071084,59.67962137071085,0.38003133191536576,38.00313319153658,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,6,False,0.5876035314462547,58.76035314462547,0.36534292058425216,36.534292058425216,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,7,False,0.5867843815418221,58.67843815418221,0.36816421337629723,36.81642133762972,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,8,False,0.5764994994083917,57.64994994083917,0.3629360391711944,36.29360391711944,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,9,False,0.5815054154910348,58.15054154910349,0.3576010332279718,35.760103322797185,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,ibo,10,False,0.5783653408573769,57.83653408573769,0.3435124961371224,34.35124961371224,21974,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,0,False,0.298307826303347,29.830782630334703,0.1643387405685435,16.43387405685435,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,1,False,0.3892621624984447,38.92621624984447,0.216760266158442,21.676026615844197,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,2,False,0.44525320393181533,44.52532039318153,0.26720334632209053,26.720334632209052,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,3,False,0.46329476172701256,46.329476172701256,0.33569492845732,33.569492845732,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,4,False,0.4761104889884285,47.61104889884285,0.344648071088159,34.4648071088159,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,5,False,0.48643772551947245,48.643772551947244,0.34264117550442647,34.26411755044265,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,6,False,0.48002986188876445,48.00298618887645,0.3384881617948882,33.84881617948882,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,7,False,0.475799427647132,47.5799427647132,0.3441375931803552,34.41375931803552,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,8,False,0.4657832524573846,46.57832524573846,0.33488941218190577,33.488941218190575,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,9,False,0.4667786487495334,46.67786487495334,0.326007898468619,32.6007898468619,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,swa,10,False,0.4601841483140475,46.018414831404755,0.31823620325603036,31.823620325603034,16074,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,0,False,0.251697157979519,25.169715797951902,0.12713060950523955,12.713060950523955,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,1,False,0.24767000345184673,24.767000345184673,0.12137620362442669,12.13762036244267,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,2,False,0.2753998389138189,27.53998389138189,0.12493259631713848,12.493259631713848,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,3,False,0.27971464733632495,27.971464733632494,0.14053277294507538,14.053277294507538,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,4,False,0.2867909331492348,28.67909331492348,0.1411787927968978,14.11787927968978,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,5,False,0.27166033828098035,27.166033828098037,0.14312242247752108,14.312242247752108,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,6,False,0.24974111149464964,24.974111149464964,0.12953120110497876,12.953120110497876,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,7,False,0.274019100218617,27.401910021861696,0.14199401399247608,14.199401399247607,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,8,False,0.27470946956621795,27.470946956621795,0.1296513087927961,12.96513087927961,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,9,False,0.2729260154182488,27.29260154182488,0.12990220097562424,12.990220097562425,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,wol,10,False,0.2756874928086526,27.568749280865262,0.12495879566555533,12.495879566555534,17382,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,0,False,0.32044262578525734,32.04426257852573,0.20279058395113858,20.279058395113857,17351,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,1,False,0.45184715578352835,45.18471557835284,0.2996856752607992,29.96856752607992,17351,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,2,False,0.5359921618350527,53.59921618350527,0.33389803311661775,33.38980331166177,17351,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,3,False,0.5868826004264884,58.68826004264884,0.40182914275463,40.182914275463,17351,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,4,False,0.5990432828079073,59.90432828079073,0.415137050962016,41.5137050962016,17351,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,5,False,0.6099936603077633,60.99936603077632,0.4430043744714566,44.300437447145654,17351,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,6,False,0.6072272491499049,60.722724914990486,0.4303043799095038,43.03043799095038,17351,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,7,False,0.5886116074001498,58.86116074001498,0.4000156142862423,40.001561428624235,17351,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,8,False,0.572589476110887,57.25894761108869,0.38864855542624943,38.864855542624944,17351,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,9,False,0.5888997752290934,58.88997752290934,0.42516548404695914,42.51654840469591,17351,train,test,layer_sweep_metrics.json
afriberta_large,hau,yor,10,False,0.5256181199930839,52.5618119993084,0.38165335311423426,38.165335311423426,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,0,False,0.4077600725482575,40.77600725482575,0.22103068996313616,22.103068996313617,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,1,False,0.49144966964632725,49.14496696463272,0.28714568548269,28.714568548269,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,2,False,0.5435289545277886,54.35289545277886,0.32433887543531364,32.43388754353136,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,3,False,0.5867340329058168,58.67340329058168,0.3614002710712804,36.14002710712804,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,4,False,0.5905557714729888,59.05557714729888,0.3823928667248449,38.23928667248449,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,5,False,0.5901023448633242,59.01023448633242,0.3736873446461957,37.36873446461957,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,6,False,0.5895841430237078,58.95841430237078,0.3795957822978247,37.95957822978247,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,7,False,0.5728073584661225,57.28073584661225,0.3659069707614046,36.59069707614046,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,8,False,0.5625728721336961,56.25728721336961,0.3435887268389856,34.35887268389856,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,9,False,0.5480632206244332,54.80632206244332,0.3360801208291081,33.60801208291081,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,hau,10,False,0.5171654359372976,51.71654359372976,0.3186513582570562,31.86513582570562,15438,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,0,True,0.7048784927641758,70.48784927641758,0.4830836336423888,48.30836336423888,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,1,True,0.7192591244197688,71.92591244197688,0.4996605259297899,49.96605259297899,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,2,True,0.7336397560753618,73.36397560753618,0.5141719985955987,51.41719985955987,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,3,True,0.7857467916628743,78.57467916628742,0.5625169463420595,56.251694634205954,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,4,True,0.7910257577136616,79.10257577136616,0.5701546993741959,57.015469937419596,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,5,True,0.7958496404842086,79.58496404842086,0.5741375417857121,57.41375417857121,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,6,True,0.8018567397833803,80.18567397833803,0.5782607552661988,57.82607552661988,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,7,True,0.7982160735414581,79.82160735414581,0.5768108893354402,57.681088933544025,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,8,True,0.8006735232547556,80.06735232547555,0.5754878596595949,57.548785965959496,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,9,True,0.7971238736688814,79.71238736688814,0.5734089759921369,57.34089759921369,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,ibo,10,True,0.7917538909620461,79.17538909620461,0.5685153917263557,56.85153917263557,21974,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,0,False,0.4440711708348886,44.40711708348886,0.2515646867018133,25.156468670181333,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,1,False,0.5225830533781262,52.258305337812615,0.284004286432687,28.4004286432687,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,2,False,0.5577951972128904,55.77951972128904,0.35354765507476116,35.35476550747612,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,3,False,0.5963668035336568,59.636680353365676,0.39766630625311505,39.76663062531151,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,4,False,0.6114221724524076,61.14221724524076,0.4202920741531408,42.029207415314076,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,5,False,0.5955580440462859,59.55580440462859,0.3936911279725655,39.36911279725655,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,6,False,0.5888391190742814,58.88391190742814,0.39070933191005336,39.07093319100534,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,7,False,0.581498071419684,58.1498071419684,0.35602973159926726,35.60297315992673,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,8,False,0.5716063207664551,57.16063207664551,0.3683293270397459,36.83293270397459,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,9,False,0.5557421923603335,55.57421923603335,0.36123155857103645,36.12315585710365,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,swa,10,False,0.5441084981958442,54.41084981958441,0.35221023678870167,35.22102367887017,16074,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,0,False,0.30238177424922336,30.238177424922334,0.1443377583235395,14.433775832353952,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,1,False,0.29766425037395006,29.766425037395006,0.13913909892180798,13.913909892180797,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,2,False,0.3046254746289265,30.462547462892648,0.1391433104963107,13.914331049631071,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,3,False,0.3569209527096997,35.69209527096997,0.16355434051918616,16.355434051918614,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,4,False,0.35346910597169484,35.34691059716948,0.15826933488989609,15.826933488989608,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,5,False,0.33482913358646876,33.482913358646876,0.1418955134129311,14.189551341293111,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,6,False,0.3103785525256012,31.03785525256012,0.137998428941222,13.7998428941222,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,7,False,0.33822344954550687,33.82234495455069,0.1464795470040685,14.647954700406851,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,8,False,0.33897134967207454,33.89713496720746,0.16457077283708854,16.457077283708855,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,9,False,0.34564492003221725,34.56449200322172,0.1553894576060726,15.538945760607259,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,wol,10,False,0.3465654124956852,34.65654124956852,0.1578293450590456,15.782934505904562,17382,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,0,False,0.44908074462567,44.908074462567,0.19501594618201987,19.501594618201988,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,1,False,0.49236355253299524,49.23635525329952,0.28576349881302165,28.576349881302164,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,2,False,0.5520719266901043,55.20719266901043,0.3436673735465669,34.36673735465669,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,3,False,0.6253241888075616,62.532418880756154,0.4376298362123769,43.76298362123769,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,4,False,0.6448619676099361,64.48619676099361,0.4301498560966621,43.01498560966621,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,5,False,0.6438821969915278,64.38821969915278,0.45592049856062317,45.59204985606232,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,6,False,0.6447467004783586,64.47467004783586,0.4192988246226658,41.92988246226658,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,7,False,0.6483199815572589,64.83199815572588,0.423553072884436,42.3553072884436,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,8,False,0.6513745605440608,65.13745605440609,0.44074815574004195,44.0748155740042,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,9,False,0.6302230418996023,63.02230418996023,0.41951444884391953,41.951444884391954,17351,train,test,layer_sweep_metrics.json
afriberta_large,ibo,yor,10,False,0.5939715290185004,59.397152901850035,0.3793109013482479,37.93109013482479,17351,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,0,False,0.3360538929913201,33.60538929913201,0.16845288859588756,16.845288859588756,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,1,False,0.41566265060240964,41.566265060240966,0.2247499816399146,22.47499816399146,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,2,False,0.4444228527011271,44.442285270112706,0.24218132010850757,24.218132010850756,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,3,False,0.45582329317269077,45.58232931726908,0.28152063395833943,28.15206339583394,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,4,False,0.47000906853219326,47.00090685321933,0.2968701542250728,29.68701542250728,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,5,False,0.47525586215831067,47.52558621583107,0.301984506139779,30.1984506139779,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,6,False,0.47907760072548256,47.90776007254826,0.30693624614608034,30.693624614608034,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,7,False,0.4702033942220495,47.02033942220495,0.2915198283944391,29.151982839443907,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,8,False,0.4543334628837932,45.433346288379326,0.2805685604513071,28.05685604513071,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,9,False,0.45051172431662134,45.05117243166213,0.2769965788760679,27.699657887606786,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,hau,10,False,0.44351599948179815,44.35159994817982,0.26293175897641724,26.293175897641724,15438,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,0,False,0.40761809411122235,40.761809411122236,0.20395553431134364,20.395553431134363,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,1,False,0.5078729407481569,50.78729407481569,0.25603923074663065,25.603923074663065,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,2,False,0.5680349503959224,56.80349503959224,0.3108690123053878,31.086901230538782,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,3,False,0.5982069718758533,59.820697187585324,0.3583202371313192,35.832023713131925,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,4,False,0.6128606534995904,61.28606534995904,0.38524487420970205,38.5244874209702,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,5,False,0.5959315554746518,59.59315554746518,0.3908667575750499,39.08667575750499,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,6,False,0.5934741057613543,59.34741057613543,0.3841667189054484,38.41667189054484,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,7,False,0.5843269318285246,58.43269318285246,0.37657972143670243,37.65797214367024,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,8,False,0.5796395740420497,57.96395740420497,0.3701994172132713,37.01994172132713,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,9,False,0.5553381268772185,55.53381268772185,0.3378643602016836,33.78643602016836,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,ibo,10,False,0.551378902339128,55.1378902339128,0.31972638890635213,31.972638890635213,21974,train,test,layer_sweep_metrics.json
afriberta_large,swa,swa,0,True,0.8460246360582306,84.60246360582306,0.5561259029511866,55.61259029511866,16074,train,test,layer_sweep_metrics.json
afriberta_large,swa,swa,1,True,0.8590892123926839,85.90892123926838,0.6522575156517697,65.22575156517696,16074,train,test,layer_sweep_metrics.json
afriberta_large,swa,swa,2,True,0.8794948363817344,87.94948363817345,0.6938049161626859,69.38049161626859,16074,train,test,layer_sweep_metrics.json
afriberta_large,swa,swa,3,True,0.9062461117332338,90.62461117332337,0.7329950366740854,73.29950366740854,16074,train,test,layer_sweep_metrics.json
afriberta_large,swa,swa,4,True,0.9109742441209406,91.09742441209406,0.738879505880827,73.8879505880827,16074,train,test,layer_sweep_metrics.json
